fish_table_id,anem_table_id,fish_obs_time,fish_spp,size,color,sex,fin_id,sample_id,tag_id,recap,fish_collector,fish_correction,fish_corr_date,fish_corr_editor,fish_corr_message,fish_notes
3138,2608,NA,APCL,4.1,W,J,534,APCL14_534,NA,NA,MRS,NA,NA,NA,NA,NA
3130,2601,NA,APCL,3.8,W,J,532,APCL14_532,NA,NA,MRS,NA,NA,NA,NA,NA
779,748,NA,APCL,6.4,YR,J,93,APCL13_093,NA,NA,MLP,NA,NA,NA,NA,NA
3119,2594,NA,APCL,4.2,W,J,531,APCL14_531,NA,NA,MRS,NA,NA,NA,NA,NA
2081,1870,NA,APCL,4.7,W,J,109,APCL14_109,NA,NA,MLP,NA,NA,NA,NA,NA
3123,2595,NA,APCL,7.1,O,M,529,APCL14_529,NA,NA,MRS,NA,NA,NA,NA,NA
3103,2585,NA,APCL,9.6,O,M,523,APCL14_523,NA,NA,MRS,NA,NA,NA,NA,NA
3115,2590,NA,APCL,4.2,W,J,527,APCL14_527,NA,NA,MRS,NA,NA,NA,NA,NA
3099,2584,NA,APCL,7.3,O,M,520,APCL14_520,NA,NA,MRS,NA,NA,NA,NA,NA
769,742,NA,APCL,3.6,YR,J,84,APCL13_084,NA,NA,MLP,NA,NA,NA,NA,NA
48,25,NA,APCL,8.4,NA,NA,10,APCL12_010,NA,NA,MLP,NA,NA,NA,NA,"#6 and #8 may be swapped. Not sure if I misread the number. However, size of fin clips suggest this is #8."
3071,2566,NA,APCL,7,O,M,511,APCL14_511,NA,NA,MRS,NA,NA,NA,NA,NA
749,731,NA,APCL,3.4,YR,J,79,APCL13_079,NA,NA,MLP,NA,NA,NA,NA,NA
5945,6387,NA,APCL,5.7,YR,J,23,APCL15_023,NA,NA,MRS,NA,NA,NA,NA,NA
729,717,NA,APCL,4.6,YR,J,67,APCL13_067,NA,NA,MLP,NA,NA,NA,NA,NA
5833,6321,NA,APCL,4.8,YR,J,2,APCL15_002,NA,NA,MRS,NA,NA,NA,NA,NA
727,716,NA,APCL,6.6,YR,J,65,APCL13_065,NA,NA,MLP,NA,NA,NA,NA,NA
724,715,NA,APCL,9.3,O,M,70,APCL13_070,NA,NA,MLP,NA,NA,NA,NA,NA
723,715,NA,APCL,3.8,YR,J,64,APCL13_064,NA,NA,MLP,NA,NA,NA,NA,NA
719,713,NA,APCL,5.1,YR,J,62,APCL13_062,NA,NA,MLP,NA,NA,NA,NA,NA
717,711,NA,APCL,4.1,W,J,61,APCL13_061,NA,NA,MLP,NA,NA,NA,NA,NA
714,709,NA,APCL,8,YP,F,59,APCL13_059,NA,NA,MLP,NA,NA,NA,NA,NA
712,709,NA,APCL,6.7,YR,J,58,APCL13_058,NA,NA,MLP,NA,NA,NA,NA,NA
8306,7996,NA,APCL,7.8,O,M,761,APCL16_761,NA,NA,MRS,NA,NA,NA,NA,NA
3104,2585,NA,APCL,5.3,Y,J,524,APCL14_524,NA,NA,MRS,NA,NA,NA,NA,NA
3080,2572,NA,APCL,8.8,O,M,516,APCL14_516,NA,NA,MRS,NA,NA,NA,NA,NA
3065,2561,NA,APCL,3.9,YR,J,509,APCL14_509,NA,NA,MRS,NA,NA,NA,NA,NA
3030,2535,NA,APCL,9.8,YP,F,492,APCL14_492,NA,NA,MRS,NA,NA,NA,NA,no tube exists for this sample
3006,2518,NA,APCL,4.4,YR,J,487,APCL14_487,NA,NA,MRS,NA,NA,NA,NA,>12X 3.5 CM OR SMALLER
3000,2517,NA,APCL,9.8,O,M,481,APCL14_481,NA,NA,MRS,NA,NA,NA,NA,NA
2984,2514,NA,APCL,8.6,O,M,473,APCL14_473,NA,NA,MRS,NA,NA,NA,NA,"AND ALSO A SNAKE, I THINK (actually a goatfish)"
2982,2513,NA,APCL,9,O,M,470,APCL14_470,NA,NA,MRS,NA,NA,NA,NA,NA
2954,2494,NA,APCL,4.7,W,J,462,APCL14_462,NA,NA,MRS,NA,NA,NA,NA,NA
2910,2445,NA,APCL,5.3,W,J,447,APCL14_447,NA,NA,MRS,NA,NA,NA,NA,NA
2902,2438,NA,APCL,5,W,J,442,APCL14_442,NA,NA,MRS,NA,NA,NA,NA,NA
2728,2253,NA,APCL,5.3,W,J,376,APCL14_376,NA,NA,MRS,NA,NA,NA,NA,NA
2714,2244,NA,APCL,3.9,W,J,368,APCL14_368,NA,NA,MRS,NA,NA,NA,NA,NA
2712,2242,NA,APCL,3.6,W,J,366,APCL14_366,NA,NA,MRS,NA,NA,NA,NA,NA
2680,2212,NA,APCL,4.9,W,J,351,APCL14_351,NA,NA,MRS,NA,NA,NA,NA,NA
2664,2203,NA,APCL,8,O,M,318,APCL14_318,NA,NA,MRS,NA,NA,NA,NA,NA
2614,2179,NA,APCL,4.3,YR,J,294,APCL14_294,NA,NA,MRS,NA,NA,NA,NA,NA
2460,2093,NA,APCL,3.8,W,J,214,APCL14_214,NA,NA,MRS,NA,NA,NA,NA,velvety deep blue sponge everywhere
37,20,NA,APCL,9.2,NA,NA,3,APCL12_003,NA,NA,MLP,NA,NA,NA,NA,NA
36,19,NA,APCL,10.8,NA,NA,7,APCL12_007,NA,NA,MLP,NA,NA,NA,NA,NA
2299,1993,NA,APCL,7.8,O,M,158,APCL14_158,NA,NA,MRS,NA,NA,NA,NA,NA
822,768,NA,APCL,2.5,W,J,116,APCL13_116,NA,NA,MLP,NA,NA,NA,NA,NA
6574,6732,NA,APCL,3.8,YR,J,146,APCL15_146,NA,NA,MRS,NA,NA,NA,NA,NA
2217,1936,NA,APCL,4.8,YR,J,139,APCL14_139,NA,NA,MRS,NA,NA,NA,NA,NA
2216,1936,NA,APCL,5.3,YR,J,138,APCL14_138,NA,NA,MRS,NA,NA,NA,NA,NA
711,709,NA,APCL,3.2,YR,J,57,APCL13_057,NA,NA,MLP,NA,NA,NA,NA,NA
706,705,NA,APCL,2.6,W,J,53,APCL13_053,NA,NA,MLP,NA,NA,NA,NA,NA
704,702,NA,APCL,4.6,YR,J,51,APCL13_051,NA,NA,MLP,NA,NA,NA,NA,NA
700,700,NA,APCL,4,W,J,48,APCL13_048,NA,NA,MLP,NA,NA,NA,NA,NA
557,556,NA,APCL,8.5,O,M,271,APCL12_271,NA,NA,MLP,NA,NA,NA,NA,no fin clip in vial
1584,1468,NA,APCL,3.7,W,J,558,APCL13_558,NA,NA,MLP,NA,NA,NA,NA,NA
1580,1467,NA,APCL,8.3,O,M,553,APCL13_553,NA,NA,MLP,NA,NA,NA,NA,no extract because mixed up extraction and don't know which fin went where
1576,1464,NA,APCL,7.9,O,M,549,APCL13_549,NA,NA,MLP,NA,NA,NA,NA,no extract because mixed up extraction and don't know which fin went where
1574,1464,NA,APCL,8.4,O,M,547,APCL13_547,NA,NA,MLP,NA,NA,NA,NA,no extract because mixed up extraction and don't know which fin went where
7289,7085,NA,APCL,4.9,W,J,157,APCL16_157,NA,N,MRS,NA,NA,NA,NA,NA
2549,2148,NA,APCL,4.3,WR,J,260,APCL14_260,NA,NA,MRS,NA,NA,NA,NA,NA
1530,1443,NA,APCL,8.1,O,M,516,APCL13_516,NA,NA,MLP,NA,NA,NA,NA,NA
7137,6985,NA,APCL,5,W,J,109,APCL16_109,NA,NA,MRS,NA,NA,NA,NA,NA
1526,1441,NA,APCL,3,YR,J,512,APCL13_512,NA,NA,MLP,NA,NA,NA,NA,NA
1474,1409,NA,APCL,4.3,YR,J,483,APCL13_483,NA,NA,MLP,NA,NA,NA,NA,NA
1436,1382,NA,APCL,10.4,YP,F,461,APCL13_461,NA,NA,MLP,NA,NA,NA,NA,fish were not close to any visible anem
1429,1378,NA,APCL,4.8,YR,J,457,APCL13_457,NA,NA,MLP,NA,NA,NA,NA,"this is the anem we saw at the end of the last dive (entered it in the spreadsheet on this dive, not the previous one)"
1427,1377,NA,APCL,2.5,YR,J,455,APCL13_455,NA,NA,MLP,NA,NA,NA,NA,this seems to be the same anemone as the one we collected from at the end of the last dive (determined 2014/10/29)
1425,1375,NA,APCL,2.5,W,J,454,APCL13_454,NA,NA,MLP,NA,NA,NA,NA,NA
1423,1374,NA,APCL,4.7,Y,J,452,APCL13_452,NA,NA,MLP,NA,NA,NA,NA,on sand/mud a few feet from the reef
1422,1373,NA,APCL,2.8,W,J,451,APCL13_451,NA,NA,MLP,NA,NA,NA,NA,NA
1421,1373,NA,APCL,7.7,O,M,450,APCL13_450,NA,NA,MLP,NA,NA,NA,NA,NA
1417,1369,NA,APCL,3.5,YR,J,448,APCL13_448,NA,NA,MLP,NA,NA,NA,NA,NA
1412,1367,NA,APCL,3.1,YR,J,445,APCL13_445,NA,NA,MLP,NA,NA,NA,NA,NA
2300,1993,NA,APCL,4.4,YR,J,159,APCL14_159,NA,NA,MRS,NA,NA,NA,NA,NA
1409,1366,NA,APCL,2.7,YR,J,442,APCL13_442,NA,NA,MLP,NA,NA,NA,NA,NA
1402,1362,NA,APCL,2.6,YR,J,440,APCL13_440,NA,NA,MLP,NA,NA,NA,NA,NA
6633,6759,NA,APCL,4.4,YR,J,153,APCL15_153,NA,NA,MRS,NA,NA,NA,NA,NA
2288,1986,NA,APCL,5.2,W,J,155,APCL14_155,NA,NA,MRS,NA,NA,NA,NA,NA
1394,1359,NA,APCL,4.9,YR,J,435,APCL13_435,NA,NA,MLP,NA,NA,NA,NA,NA
475,390,NA,APCL,3.8,W,J,235,APCL12_235,NA,NA,MLP,NA,NA,NA,NA,NA
35,18,NA,APCL,10,NA,NA,12,APCL12_012,NA,NA,MLP,NA,NA,NA,NA,NA
1372,1340,NA,APCL,5.9,W,J,426,APCL13_426,NA,NA,MLP,NA,NA,NA,NA,NA
1365,1332,NA,APCL,5.1,W,J,424,APCL13_424,NA,NA,MLP,NA,NA,NA,NA,NA
1362,1330,NA,APCL,3.5,YR,J,422,APCL13_422,NA,NA,MLP,NA,NA,NA,NA,NA
1357,1326,NA,APCL,7.5,O,M,419,APCL13_419,NA,NA,MLP,NA,NA,NA,NA,NA
1356,1326,NA,APCL,3.5,YR,J,418,APCL13_418,NA,NA,MLP,NA,NA,NA,NA,NA
1343,1314,NA,APCL,3.6,W,J,413,APCL13_413,NA,NA,MLP,NA,NA,NA,NA,NA
1342,1313,NA,APCL,2.6,YR,J,412,APCL13_412,NA,NA,MLP,NA,NA,NA,NA,NA
2166,1910,NA,APCL,8,O,M,124,APCL14_124,NA,NA,MRS,NA,NA,NA,NA,NA
1338,1311,NA,APCL,5,YR,J,410,APCL13_410,NA,NA,MLP,NA,NA,NA,NA,NA
1334,1302,NA,APCL,2.8,YR,J,409,APCL13_409,NA,NA,MLP,NA,NA,NA,NA,NA
2153,1904,NA,APCL,4.2,W,J,122,APCL14_122,NA,NA,MRS,NA,NA,NA,NA,NA
795,755,NA,APCL,6.1,YR,J,101,APCL13_101,NA,NA,MLP,NA,NA,NA,NA,anems <- anem_old$anem_table_id
1327,1288,NA,APCL,4.1,YR,J,404,APCL13_404,NA,NA,MLP,NA,NA,NA,NA,NA
1325,1286,NA,APCL,9.2,YP,F,402,APCL13_402,NA,NA,MLP,NA,NA,NA,NA,#400 had an all orange tail with a clear trailing edge
1323,1286,NA,APCL,9,O,M,400,APCL13_400,NA,NA,MLP,NA,NA,NA,NA,#400 had an all orange tail with a clear trailing edge
1321,1282,NA,APCL,4.9,W,J,399,APCL13_399,NA,NA,MLP,NA,NA,NA,NA,NA
1319,1274,NA,APCL,7.8,O,M,398,APCL13_398,NA,NA,MLP,NA,NA,NA,NA,NA
1315,1271,NA,APCL,3.7,YR,J,396,APCL13_396,NA,NA,MLP,NA,NA,NA,NA,NA
643,660,NA,APCL,10.2,O,M,13,APCL13_013,NA,NA,MLP,NA,NA,NA,NA,NA
642,658,NA,APCL,10.9,O,M,12,APCL13_012,NA,NA,MLP,NA,NA,NA,NA,NA
641,658,NA,APCL,11.7,O,M,11,APCL13_011,NA,NA,MLP,NA,NA,NA,NA,NA
