Family,Species,Author,Info,Occurrence,Common names,Abundance,Max length,Maturity,Remark,Photo
Gobiidae,Acentrogobius nebulosus,"(Forsskål, 1775)","Br, M",native ,"Hairfin goby (English), Shadow goby (English) ",,18.00 cm SL male/unsexed ,,"Known from NT (Gulf of Carpentaria, N coast), QLD (Gulf of Carpentaria, NE coast), WA (Central W coast, N coast); Shark Bay, WA to One Tree Island, QLD (Ref. 75154). Also Ref. 11344, 116003. ",+ 
Syngnathidae,Acentronura breviperula,"Fraser-Brunner & Whitley, 1949",M,native ,,,5.00 cm TL male/unsexed ,,,+ 
Syngnathidae,Acentronura tentaculata,"Günther, 1870",M,native ,"Shortpouch pygmy pipehorse (English), Dwarf pipehorse (English), Northern little pipehorse (English) ",,6.30 cm TL male/unsexed ,,Known from Torres Straits (Ref. 5316) and Queensland (Ref. 4281). Also Ref. 48635. ,+ 
Labridae,Achoerodus gouldii,"(Richardson, 1843)","M, Rstr",endemic ,"Western blue groper (English), Blue groper (English), Gould's wrasse (English), Parrotfish (English), Western blue wrasse (English), Wrasse (English) ",,175 cm TL male/unsexed ,65.3 TL ,"Confined to southwestern Australia from eastern South Australia to Lancelin, Western Australia. Occur on shallow rocky reefs to about 40 m. Have long been exploited by spear fishermen and anglers because of their great size and excellent eating quality. Consequently, their numbers have markedly diminished and spear fishing restrictions have been enforced to allow the population to recover (Ref. 33839). Also Ref. 26878. ",+ 
Labridae,Achoerodus viridis,"(Steindachner, 1866)",M,endemic ,"Eastern blue groper (English), Blue groper (English), Brown groper (English), Eastern blue wrasse (English), Giant pigfish (English), Red groper (English), Wrasse (English) ",,62.00 cm TL male/unsexed ;33.00 cm TL female ,,"Known from Port Jackson, Sydney and Shoalhaven (Ref. 26878). Also Ref. 35918. ",+ 
Monacanthidae,Acreichthys radiatus,"(Popta, 1900)",M,native ,,,7.00 cm TL male/unsexed ,,"Known from Rowley Shoals, WA (17°20’S) and Lizard I. (14°40'S) to Swain Reefs (22°05’S), QLD (Ref/ 75154). Also Ref. 559. ",+ 
Centriscidae,Aeoliscus strigatus,"(Günther, 1861)",M,native ,"Jointed razorfish (English), Coral shrimpfish (English), Razorfish (English), Shrimpfish (English) ",,15.00 cm TL male/unsexed ,,New South Wales (Ref. 37816). Queensland (Ref. 90102). Also Ref. 1602. ,+ 
Soleidae,Aesopia cornuta,"Kaup, 1858",M,native ,Dark thick-rayed sole (English) ,,25.00 cm SL male/unsexed ,,"Museum: CSIRO CA2097, CSIRO CA1494. From North West Cape to Darwin. ",+ 
Epinephelidae,Aethaloperca rogaa,"(Fabricius, 1775)","M, Lf",native ,"Redmouth rockcod (English), Red-flushed cod (English), Red-flushed rockcod (English), Redmouth groper (English), Rockcod (English) ",,60.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Museum: AMS I.19464-152. Known from Rowley Shoals, Western Australia and from Lizard Is. to Wheeler Reef, Qld. (Ref. 7300); Queensland (Ref 90102). Also Ref. 4787, 5222, 33390. ",+ 
Microdesmidae,Aioliops tetrophthalmus,"Rennis & Hoese, 1987",M,native ,Four-eye mini dartgoby (English) ,,,,"Type locality: Lizard Island, Great Barrier Reef, Queensland (Ref. 46206). ",- 
Gobiesocidae,Alabes obtusirostris,"Hutchins & Morrison, 2004",M,native ,Pugnose shore eel (English) ,,4.60 cm SL male/unsexed ,,Known only from two locations: off Lakes Entrance in Victoria and off Binningup in southwestern Western Australia (Ref. 56640). ,+ 
Gobiesocidae,Alabes scotti,"Hutchins & Morrison, 2004",M,native ,Scott's shore eel (English) ,,4.80 cm SL male/unsexed ,,"Known only from a few scattered coastal localities off southeastern Australia, from Tathra in southern New South Wales, west to Cape Everard in eastern Victoria, and south to the region of St Helens Point in northeastern Tasmania (Ref. 56640). ",+ 
Albulidae,Albula glossodonta,"(Forsskål, 1775)",M,native ,,,90.00 cm SL male/unsexed ,,Reported from Lord Howe Island (Ref. 1602). ,+ 
Albulidae,Albula oligolepis,"Hidaka, Iwatsuki & Randall, 2008",M,native ,,,35.40 cm SL male/unsexed ,,"Known from northeastern Australia, the Great Barrier Reef, Queensland (Ref. 74924). ",+ 
Carangidae,Alectis ciliaris,"(Bloch, 1787)",M,native ,"Pennantfish (English), African pompano (English), Pennant fish (English), Round-headed pennantfish (English), Threadfin trevally (English), Diamond trevally (English) ",,150 cm TL male/unsexed ,,"Recorded from Western Australia, Northern Territory, Queensland and New South Wales (Dunsborough, W. A. to Shell Harbour, N. S. Wales) (Ref. 7300). Also reported from Lord Howe Island (Ref. 75154). Museum: LPPL JIF192 (TGT2360). Also Ref. 3277. ",+ 
Carangidae,Alectis indica,"(Rüppell, 1830)","Br, M",native ,"Diamond trevally (English), Diamond fish (English), High-brow pennantfish (English), Indian threadfish (English), Mirror fish (English), Plumed trevally (English), Threadfin trevally (English) ",,165 cm TL male/unsexed ,,"Recorded from Houtman Abrolhos Is. In W. Australia (incl. the W coast & NW , N. Territory ( incl. the G. of Carpentaria), Queensland (NE coast) and Wollongong in New South Wales; including Lord Howe Island (Ref. 2334). Also Ref. 3287, 7300, 33390. ",+ 
Carangidae,Alepes djedaba,"(Fabricius, 1775)",M,native ,Banded scad (English) ,,40.00 cm TL male/unsexed ,,,+ 
Carangidae,Alepes kleinii,"(Bloch, 1793)","Br, M",native ,"Razorbelly trevally (English), Banded scad (English), Herring trevally (English), Sharp-bellied scad (English) ",,18.20 cm TL male/unsexed ,,"Found from North West Cape to Darwin. Known from off Broome in Western Australia to Yeppoon in Queensland, including the NW shelf, the N coast, the Gulf of Carpentaria, the NE coast and the Great Barrier Reef (Ref. 7300). Museum: LPPL JIF216 (TGT2120) (Ref. 5978). Also Ref. 3287, 4537. ",+ 
Dinematichthyidae,Alionematichthys crassiceps,"Møller & Schwarzhans, 2008",M,native ,,,6.30 cm SL male/unsexed ,,Collected from Western Australia (Kendrew and Mermaid islands) (Ref. 88966). ,+ 
Dinematichthyidae,Alionematichthys piger,"(Alcock, 1890)",M,native ,,,8.40 cm SL male/unsexed ,,,+ 
Dinematichthyidae,Alionematichthys riukiuensis,"(Aoyagi, 1954)",M,native ,"Bigeye cusk (English), Robust cusk (English) ",,7.87 cm SL male/unsexed ,,"Occurs in Queensland (Ref. 13278); Northern Territory (Ref. 75154) and Western Australia (Ref. 81230). Museum records: Table Head, Cobowg Peninsula, Northern Territory, NTM S.11253-019-1 (holotype of Dinematichthys megasoma, 104.2 mm SL, male); Dudly Point Reef, Darwin, Northern Territory, NTM S.10417-023-1 (paratype, 84 mm SL, female) and ROM 38504 (Ref. 13278). Also Ref. 34024. ",+ 
Xenisthmidae,Allomicrodesmus dorotheae,"Schultz, 1966",M,native ,"Toothpick wriggler (English), Dorothea's wriggler (English) ",,,,Known from the Great Barrier Reef. ,- 
Monacanthidae,Aluterus monoceros,"(Linnaeus, 1758)",M,native ,Leatherjacket (English) ,,76.20 cm TL male/unsexed ,,Museum: LPPL JIF151 (TGT2261). From North West Cape to Darwin. ,+ 
Monacanthidae,Aluterus scriptus,"(Osbeck, 1765)",M,native ,Figured leather-jacket (English) ,,110 cm TL male/unsexed ,,"Known from Houtman Abrolhos Is., Western Australia (Ref. 31792). ",+ 
Monacanthidae,Amanses scopas,"(Cuvier, 1829)",M,native ,"Brush-sided leatherjacket (English), Broom filefish (English), Broom leatherjacke (English) ",,20.00 cm TL male/unsexed ,,"Reported in Sydney Harbour at Fairlight (Autumn 2007) (J. Stevenson, pers.comm. 11/07). ",+ 
Cirrhitidae,Amblycirrhitus bimacula,"(Jenkins, 1903)",M,native ,Twinspot hawkfish (English) ,,8.50 cm SL male/unsexed ,,Known from Wester Australia and Queensland (Ref. 75154); Great Barrier Reef (Ref. 90102). Also Ref. 2334. ,+ 
Gobiidae,Amblyeleotris diagonalis,"Polunin & Lubbock, 1979",M,native ,"Diagonal shrimpgoby (English), Slantbar shrimpgoby (English) ",,11.00 cm SL male/unsexed ,,"Known from the northern Great Barrier Reef, from Lizard I. (14°40'S) to Decapolis Reef (14°51'S), Queensland (Ref. 75154). Museum: east of South I., Lizard I., GBR, BMNH 1978.2.28.2 (holotype, 3.75 cm SL); AMS I.20690-001 (paratypes) (Ref. 26237). ",+ 
Gobiidae,Amblyeleotris fasciata,"(Herre, 1953)",M,native ,,,8.00 cm TL male/unsexed ,,Known from Queensland (the Great Barrier Reef and Escape Reef) (Ref. 75154). Also Ref. 1602. ,+ 
Gobiidae,Amblyeleotris fontanesii,"(Bleeker, 1853)",M,native ,Giant shrimpgoby (English) ,,25.00 cm SL male/unsexed ,,"Known from the Queensland, the Great Barrier Reef and Lizard Island (Ref. 75154). ",+ 
Gobiidae,Amblyeleotris guttata,"(Fowler, 1938)",M,native ,"Blackchest shrimpgoby (English), Spotted shrimp goby (English) ",,11.00 cm SL male/unsexed ,,Known from Scott Reef and the Great Barrier Reef (Ref. 1602). ,+ 
Gobiidae,Amblyeleotris gymnocephala,"(Bleeker, 1853)","Br, M",native ,Mask shrimpgoby (English) ,,14.00 cm TL male/unsexed ,,"Known from Monte Bello Islands, WA to Cobourg Peninsula, NT and Lizard Island, Queensland (Ref. 75154). Also Ref. 49596. ",+ 
Gobiidae,Amblyeleotris macronema,"Polunin & Lubbock, 1979",M,endemic ,Longspine shrimpgoby (English) ,,8.00 cm SL male/unsexed ,,"Type locality, east of South I., Lizard I., Great Barrier Reef, BMNH 1978.2.28.5 (holotype of Amblyeleotris macronema, 8 cm SL); AMS I.20689-002, USNM 218979, MHNG 1592.51 (paratypes) (Ref. 26237) (Ref. 26237).. ",- 
Gobiidae,Amblyeleotris periophthalma,"(Bleeker, 1853)",M,native ,Broadbanded shrimpgoby (English) ,,11.00 cm SL male/unsexed ,,,+ 
Gobiidae,Amblyeleotris randalli,"Hoese & Steene, 1978",M,native ,Sailfin shrimpgoby (English) ,,12.00 cm SL male/unsexed ,,"Known off Cairns, Great Barrier Reef, Queensland (Ref. 75154). Also Ref. 1602. ",+ 
Gobiidae,Amblyeleotris rhyax,"Polunin & Lubbock, 1979",M,native ,,,7.25 cm SL female ,,"Known from Queensland, the Great Barrier Reef, Lizard I. (Ref. 75154). Also Ref. 37816. ",+ 
Gobiidae,Amblyeleotris steinitzi,"(Klausewitz, 1974)",M,native ,Steinitz' shrimp goby (English) ,,13.00 cm SL male/unsexed ,,Known from Queensland (Great Barrier Reef) and Western Australia ( N and NW coasts) (Ref. 75154). Also Ref. 1602. ,+ 
Gobiidae,Amblyeleotris wheeleri,"(Polunin & Lubbock, 1977)",M,native ,"Burgundy shrimpgoby (English), Wheeler's shrimp-goby (English) ",,10.00 cm SL male/unsexed ,,"Known from Queensland (Great Barrier Reef, Yonge and One Tree Island) and Western Australia (Cartier and Ashmore Reef) (Ref. 75154). Also Ref. 1602, 9360. ",+ 
Dorosomatidae,Amblygaster sirm,"(Walbaum, 1792)",M,native ,"Spotted sardine (English), Northern pilchard (English), Spotted sardinella (English) ",,27.00 cm SL male/unsexed ,17.4 SL ,"Found from Darwin to North West Cape and Gulf of Carpentaria to Hayman Is., Qld. (Ref. 7300). Museum: NTM S.11000-005 (TGT 2382) (Ref. 5978). Also Ref. 33390. ",+ 
Pomacentridae,Amblyglyphidodon aureus,"(Cuvier, 1830)",M,native ,"Golden damsel (English), Golden sergeant (English) ",,13.00 cm TL male/unsexed ,,Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 7247. ,+ 
Pomacentridae,Amblyglyphidodon batunaorum,"Allen, 1995",M,native ,Batuna damsel (English) ,,10.00 cm TL male/unsexed ,,Known from Western Australia (Ref. 75154). ,+ 
Pomacentridae,Amblyglyphidodon curacao,"(Bloch, 1787)",M,native ,Staghorn damsel (English) ,,11.00 cm TL male/unsexed ,,"Occurs in the Rowely Shoals (Ref. 1602) and northern Australia (Ref. 7247). Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 2334, 48636. ",+ 
Pomacentridae,Amblyglyphidodon leucogaster,"(Bleeker, 1847)",M,native ,"Whitebelly damsel (English), Golden-scaled damsel-fish (English), White-breasted sergeant (English), White-breasted sergeant-major (English), Whitebelly devil (English) ",,14.40 cm TL male/unsexed ,,Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 7247. Known from Western Australia and north-eastern Queensland (Ref. 90102). ,+ 
Gobiidae,Amblygobius albimaculatus,"(Rüppell, 1830)","Br, M",native ,,,18.00 cm SL male/unsexed ,,,+ 
Gobiidae,Amblygobius decussatus,"(Bleeker, 1855)",M,native ,"Orange-striped goby (English), Crossed goby (English) ",,9.50 cm SL male/unsexed ,,"Known from Rosemary Island (20°29'S) to Scott Reef (14°10'S), Western Australia and Tijou Reef (13°04'S) to Escape Reef (15°49'S), Queensland (Ref. 75154). ",+ 
Gobiidae,Amblygobius nocturnus,"(Herre, 1945)",M,native ,Pyjama goby (English) ,,10.00 cm SL male/unsexed ,,"Known from Monte Bello Is., Western Australia (20°24'S) to Coral Bay, Northern Territory (132°04'E) and Tijou Reef (13°04'S) to Fairfax Reef (23°51'S), Queensland (Ref. 75154). Also Ref. 1602, 9710. ",+ 
Gobiidae,Amblygobius phalaena,"(Valenciennes, 1837)",M,native ,"Banded goby (English), Whitebarred goby (English) ",,15.00 cm TL male/unsexed ,,"Type locality, Cape York, Queensland, QM I.87 (syntypes of Gobius annulatus). Known from Rottnest Island, Western Australia (32°S) to Sydney, New South Wales (33°50'S) (Ref. 75154). Also recorded from Shark Bay (Ref. 115274). Also Ref. 1602, 2334. ",+ 
Gobiidae,Amblygobius sphynx,"(Valenciennes, 1837)",M,native ,"Sphinx goby (English), Sphynx goby (English) ",,18.00 cm TL male/unsexed ,,"Known from Lizard Island (14°30'S) to Lindeman Island (20°27'S), Queensland (Ref. 75154. Also Ref. 2334. ",+ 
Pomacentridae,Amblypomacentrus breviceps,"(Schlegel & Müller, 1839)",M,native ,"Blackbanded damsel (English), Black-banded demoiselle (English), Short-head damsel (English) ",,8.50 cm TL male/unsexed ,,Reported from Queensland (Ref. 9710). ,+ 
Chaetodontidae,Amphichaetodon howensis,"(Waite, 1903)",M,native ,"Lord Howe butterflyfish (English), Broad-barred butterflyfish (English), Lord Howe coralfish (English), Lord Howe Island butterflyfish (English) ",,18.00 cm SL male/unsexed ,,"Reported from southern Queensland, New South Wales and Lord Howe Island (Ref. 9563). Also Ref. 4855. ",+ 
Pomacentridae,Amphiprion akindynos,"Allen, 1972",M,native ,"Barrier reef anemonefish (English), Brown anemonefish (English), Guarded anemone fish (English), Two-banded anemonefish (English) ",,9.00 cm SL male/unsexed ,,Great Barrier Reef and Solitary Is. (Ref. 7247). ,+ 
